N,concerns,concerns category,anything else,anything else category
361,"In linear algebra, I got into a groove with my coursework.  I feel like it is going to be a lot different with this course.  It is a different kind of math, there are no quizzes, there are three exams, and the lecturer is different.  My biggest concern is that the lady on the lecture videos does not do as great of a job as Dr. Mayer did with linear algebra.",LM,NA,NC
238,"My biggest concern is actually understanding the course content. So far, it seems a decent bit complicated, and I know it's only going to get harder.",LM,NA,NC
578,"I concerned about getting a B like last semester. Although I feel more confident in this course's material for reasons previously stated, I need to make sure I stay on task and adequately review material.",LM,N/A,NC
547,"I don't have a lot of concerns about this course, mainly just worrying about how well I'll learn the material. ",LM,N/A,NC
101,I am slightly concerned for the lack of a practice exam.,LM,I am very excited to be back in a calculus class!,NC
598,I am concerned about the pace of the course and the difficulty of the concepts taught throughout the course. ,LM,N/A,NC
410,I am nervous I will think I will understand the topic but ultimately fail the exams.,LM,N/A,NC
478,"I am concerned about the ""calculus"" portion as it relates to derivatives and integrals - although I was proficient in it, the concept can become quite complex.",LM,N/A,NC
174,* I'm concerned that I might have some difficulty learning online/not being able to ask questions as easily as I would be able to in a in-person class.,LM,N/A,NC
68,"As this course is going to mix linear algebra and calculus, I'm worried about the content. However, I plan to attend more studio sessions to fully understand this content. ",LM,N/A,NC
399,"At this point in the semester, I am most concerned about studying for the exams, as I am worried that my current studying techniques will be ineffective given the amount of content involved in an exam, more specifically the final exam. ",LM,N/A,NC
483,"At this point in the semester, true and false questions concern me the most in this course, as I do not do as well with conceptual questions. Luckily, Dr. Mayer mentioned that MATH 2551 is less theoretical so I am hoping it will be less difficult this semester.",LM,N/A,NC
455,I am a bit concerned about the difficulty of the course and the things I will need to do to manage my time with my other classes.,LM,N/A,NC
129,"I am most concerned about being able to learn online, because I struggled last semester and had to do a lot of group studying to understand some parts.",LM,N/A,NC
400,I am concerned about the lack of guidance from an in-person teacher. I often rely on asking the teacher questions to improve my understanding of certain concepts.,LM,NA,NC
499,I am concerned about the lack of quizzes. The quizzes in the linear algebra course helped me test my knowledge and I am not sure why this course does not have any.,LM,NA,NC
352,"I am concerned because I've heard that this is the hardest of all 4 distance math classes, so I'm scared that I won't understand something and won't do too well given that all exams combined are 60% of our grade.",LM,NA,NC
539,"I am concerned by the fast-moving pace of the course, but I believe with appropriate practice I will be able to gain a strong information of the content.",LM,NA,NC
351,I am concerned that I will not understand a concept and it will affect me for the rest of the course.,LM,NA,NC
500,I am concerned that I will struggle on exams with the lack of quizzes that I can retry like we could last semester. It showed me where to work more and promoted mastery of all subjects.,LM,NA,NC
247,"I am most concerned about getting behind on my work and getting stressed out, however that did not happen last semester so hopefully it doesn't this semester either. ",LM,NA,NC
517,I am most concerned about not understanding the course and not doing well on exams.,LM,NA,NC
365,"I am most concerned with keeping up with the course. There is often much math to cover each week, so it is important that I manage my time well so that I am able to sufficiently understand and apply the material.",LM,NA,NC
375,I am worried about the exams being worth 60% of the grade this time and I want to make sure I spend an even longer time studying for the exams. I am concerned about making sure I fully learn all the content this semester because I feel like semester it was easy to get by without fully learning the content until the exams. ,LM,NA,NC
570,"I am worried about the in person exams the most. In linear algebra I struggled to prepare well enough to see results despite studying, so I am worried that I will have the same struggles in this class. ",LM,NA,NC
339,I am concerned about being able to recall things from Calculus quick enough to understand the new concepts in the course.,LM,NA,NC
259,I am concerned about how much practice I will have to do using resources outside of the work given by this course once the topics become more complex.,LM,NA,NC
590,"I am concerned about the exams because they have a much higher weight in this class, and the exams in linear algebra were hard for me. I am also concerned that I lost a lot of my knowledge of BC Calculus since it has been a while. ",LM,NA,NC
415,Although I said I enjoy the incorporation of physics it also could be a challenge for me. I'm not the greatest at physics but it is just going to have to be part of the process and I'll take more time to understand how to use it in this class. ,LM,NA,NC
158,"As the last time I had practiced calculus was 8+ months ago, I am a bit worried about my ability to remember the application of certain skills. ",LM,NA,NC
161,"At this point, I'm not worried about the difficulty of the work, I'm worried about the timing of it since my spring semester looks like it will be busier than fall semester.",LM,NA,NC
526,Grades,LM,NA,NC
465,"I am a bit concerned that, unlike Linear Algebra, there are not quizzes due each week. Those quizzes not only helped to bolster my grade, but they were extremely useful to better understanding content. I will likely need to seek other sources for better understanding this semester.",LM,NA,NC
152,"I am concerned about not learning the content as deeply as I need to. Even after watching lecture videos and reading the textbook and doing the homework, there are still times where I struggle to keep up.",LM,NA,NC
88,I am concerned about taking another calculus class because I have forgotten just about all of the calculus I took previously.,LM,NA,NC
135,I am concerned about the fact that the in person exams count for so much grade-wise which means I don't have very much room for error on the exams.,LM,NA,NC
4,"I am concerned about the lack of quizzes. With linear algebra, I thought that the quizzes helped to reinforce understanding and acted as review material down the line",LM,NA,NC
64,I am most concerned about not understanding the material.,LM,NA,NC
97,"I heard some concepts are difficult to grasp, but otherwise no major concerns!",LM,NA,NC
98,"I tend to struggle with online courses and staying engaged so Im concerned about that. If I'm able to put in the time though, the material should be fairly easy for me.",LM,NA,NC
84,"I wasn't the best at Calc BC, and continuing calculus is a bit nervous for me, but I'm pretty confident with vectors and their related topics so I'm not too worried.",LM,NA,NC
25,"I'm mostly concerned about the difficulty- students generally have mixed opinions about the difficulty of Multivariable calculus as compared to Linear Algebra, so I hope that Multi isn't too much more challenging than LinAlg. ",LM,NA,NC
89,"My concern now is that the exams hold a higher portion in the overall weight grade, but I believe with proper work and attention to learning that shouldn't be a problem. I'm also a bit worried because there are no quizzes each week, so I feel like I can't have that extra review I would normally have to learn. The part that concerns me the most is that we don't have module exams anymore which were helpful to me in the previous semester, but hopefully the kahoots can make up for that.",LM,NA,NC
480,"Not having enough practice without the weekly quizzes, having to learn harder content, greater amount of grade based on exams.",LM,NA,NC
214,"Not having weekly quizzes is a concern to me as they were helpful in gauging our knowledge for the exams last semester. Additionally, the percentage of Exam weight is a slight bit of a concern to me as last semester, I wasn't the best at exam-taking. Nonetheless, I will work this semester to be better.",LM,NA,NC
458,I am worried about having another exam. I did well on exams 1 and 2 during Linear Algebra but they always make me nervous.,LM,NA.,NC
149,"I'm concerned about not being able to attend the live lessons. Last semester I was able to watch recordings for the first quarter, but then I ended up stop watching the lessons altogether and just relied on the lesson videos and textbook.",LM,"NA. I'll ask a lot of questions, I guess.",NC
110,"I am a bit scared about how there are three exams this year instead of two like last year, but I know it will work out as long as I work hard.",LM,NA ,NC
397,"I am also a little worried about the fact that there are fewer assignments, especially with there being no quizzes. This means there will be fewer practices and ""easy"" A's to affect our grades. I am also worried about the fact that there is another exam because exams are not my strong point in this course so this could drop my grade. ",LM,No concerns,NC
364,"I am concerned about my ability to fully understand the subject material. Math does not come easy to me, especially math at this level. So I am also worried about the time I will have to dedicate to succees. ",LM,None,NC
221,"Ensuring that I study ""enough"" before the first exam is my main concern, as I am still learning how much time I need to spend reviewing for collegiate level courses such as this one.",LM,None,NC
43,There are no quizzes every week. I like to use the quizzes for practice and as a checkpoint but now it'll be that much harder to study for the exams. ,LM,Not that I can think of. ,NC
393,I am most concerned about finishing learning and understanding the content before the exams roll around because there seems to be more content than last semester. ,LM,The first B of my high school career was in Math 1554 so I hope that motivates me to push harder for an A this semester. ,NC
552,"I am mostly concerned about being able to fully grasp the content, but that is mostly based on my own personal ability to learn and take the time to study for this course.",LM,"There is not really anything special concerning my needs except that my internet at home can sometimes stop working, but I will do my best to not let this issue affect my work in the course.",NC
360,Being able to pass the exam.,LM,,NC
203,I have no concerns yet.,NC,NA,NC
485,N.A.,NC,N.A,NC
41,N/A,NC,N/A,NC
49,N/A,NC,N/A,NC
60,N/A,NC,N/A,NC
65,N/A,NC,N/A,NC
66,N/A,NC,N/A,NC
111,N/A,NC,N/A,NC
127,N/A,NC,N/A,NC
138,N/A,NC,N/A,NC
151,N/A,NC,N/A,NC
164,N/A,NC,N/A,NC
196,N/A,NC,N/A,NC
239,N/A,NC,N/A,NC
240,N/A,NC,N/A,NC
256,N/A,NC,N/A,NC
273,N/A,NC,N/A,NC
274,N/A,NC,N/A,NC
289,N/A,NC,N/A,NC
327,N/A,NC,N/A,NC
336,N/A,NC,N/A,NC
359,N/A,NC,N/A,NC
366,N/A,NC,N/A,NC
392,N/A,NC,N/A,NC
429,N/A,NC,N/A,NC
468,N/A,NC,N/A,NC
493,N/A,NC,N/A,NC
507,N/A,NC,N/A,NC
554,N/A,NC,N/A,NC
573,N/A,NC,N/A,NC
77,N/A. ,NC,N/A,NC
74,none,NC,N/A,NC
153,none,NC,N/A,NC
217,None,NC,N/A,NC
381,none,NC,n/a,NC
453,None.,NC,N/A,NC
29,I have enjoyed the course so far in which I am not concerned about the course at this current moment. I am looking forward to the continuation of the course as well!,NC,"N/A

 

My impressions of the course are great!",NC
248,N/A.,NC,N/a.,NC
128,"I just need to pace myself, and not get overwhelmed with all of the course. If I have any questions I need to make sure to go to office hours to get them answered. ",NC,NA,NC
220,n/a,NC,NA,NC
295,N/A,NC,NA,NC
482,N/A,NC,NA,NC
569,N/A,NC,NA,NC
7,NA,NC,NA,NC
16,NA,NC,NA,NC
17,NA,NC,NA,NC
19,NA,NC,NA,NC
20,NA,NC,NA,NC
22,NA,NC,NA,NC
23,NA,NC,NA,NC
24,NA,NC,NA,NC
26,NA,NC,NA,NC
28,NA,NC,NA,NC
30,NA,NC,NA,NC
34,NA,NC,NA,NC
35,NA,NC,NA,NC
36,NA,NC,NA,NC
38,NA,NC,NA,NC
39,NA,NC,NA,NC
44,NA,NC,NA,NC
45,NA,NC,NA,NC
46,NA,NC,NA,NC
48,NA,NC,NA,NC
50,NA,NC,NA,NC
54,NA,NC,NA,NC
57,NA,NC,NA,NC
61,NA,NC,NA,NC
62,NA,NC,NA,NC
63,NA,NC,NA,NC
67,NA,NC,NA,NC
69,NA,NC,NA,NC
70,NA,NC,NA,NC
82,NA,NC,NA,NC
85,NA,NC,NA,NC
86,NA,NC,NA,NC
87,NA,NC,NA,NC
92,NA,NC,NA,NC
99,NA,NC,NA,NC
104,NA,NC,NA,NC
106,NA,NC,NA,NC
112,NA,NC,NA,NC
114,NA,NC,NA,NC
116,NA,NC,NA,NC
117,NA,NC,NA,NC
119,NA,NC,NA,NC
124,NA,NC,NA,NC
125,NA,NC,NA,NC
126,NA,NC,NA,NC
133,NA,NC,NA,NC
137,NA,NC,NA,NC
140,NA,NC,NA,NC
145,NA,NC,NA,NC
146,NA,NC,NA,NC
147,NA,NC,NA,NC
157,NA,NC,NA,NC
160,NA,NC,NA,NC
167,NA,NC,NA,NC
168,NA,NC,NA,NC
172,NA,NC,NA,NC
175,NA,NC,NA,NC
182,NA,NC,NA,NC
186,NA,NC,NA,NC
189,NA,NC,NA,NC
195,NA,NC,NA,NC
198,NA,NC,NA,NC
201,NA,NC,NA,NC
202,NA,NC,NA,NC
205,NA,NC,NA,NC
206,NA,NC,NA,NC
209,NA,NC,NA,NC
210,na,NC,na,NC
211,NA,NC,NA,NC
216,NA,NC,NA,NC
224,NA,NC,NA,NC
226,NA,NC,NA,NC
228,NA,NC,NA,NC
232,NA,NC,NA,NC
233,NA,NC,NA,NC
236,NA,NC,NA,NC
249,NA,NC,NA,NC
254,NA,NC,NA,NC
257,NA,NC,NA,NC
258,NA,NC,NA,NC
260,NA,NC,NA,NC
266,NA,NC,NA,NC
268,NA,NC,NA,NC
269,NA,NC,NA,NC
270,NA,NC,NA,NC
276,NA,NC,NA,NC
285,NA,NC,NA,NC
293,NA,NC,NA,NC
294,NA,NC,NA,NC
297,NA,NC,NA,NC
300,NA,NC,NA,NC
304,NA,NC,NA,NC
305,NA,NC,NA,NC
307,NA,NC,NA,NC
312,NA,NC,NA,NC
316,NA,NC,NA,NC
320,NA,NC,NA,NC
322,NA,NC,NA,NC
326,NA,NC,NA,NC
330,NA,NC,NA,NC
331,NA,NC,NA,NC
332,NA,NC,NA,NC
333,NA,NC,NA,NC
342,NA,NC,NA,NC
343,NA,NC,NA,NC
348,NA,NC,NA,NC
355,NA,NC,NA,NC
357,NA,NC,NA,NC
358,NA,NC,NA,NC
363,NA,NC,NA,NC
367,NA,NC,NA,NC
378,NA,NC,NA,NC
386,NA,NC,NA,NC
388,NA,NC,NA,NC
396,NA,NC,NA,NC
402,NA,NC,NA,NC
411,NA,NC,NA,NC
419,NA,NC,NA,NC
420,na,NC,na,NC
423,NA,NC,NA,NC
425,NA,NC,NA,NC
432,NA,NC,NA,NC
435,NA,NC,NA,NC
437,NA,NC,NA,NC
441,NA,NC,NA,NC
442,NA,NC,NA,NC
444,NA,NC,NA,NC
446,NA,NC,NA,NC
447,NA,NC,NA,NC
449,NA,NC,NA,NC
451,NA,NC,NA,NC
454,NA,NC,NA,NC
460,NA,NC,NA,NC
462,NA,NC,NA,NC
464,NA,NC,NA,NC
473,na,NC,na,NC
476,NA,NC,NA,NC
487,NA,NC,NA,NC
490,NA,NC,NA,NC
494,NA,NC,NA,NC
496,NA,NC,NA,NC
506,NA,NC,NA,NC
511,NA,NC,NA,NC
514,NA,NC,NA,NC
516,NA,NC,NA,NC
518,NA,NC,NA,NC
520,NA,NC,NA,NC
522,NA,NC,NA,NC
538,NA,NC,NA,NC
542,NA,NC,NA,NC
546,NA,NC,NA,NC
548,NA,NC,NA,NC
549,NA,NC,NA,NC
553,NA,NC,NA,NC
556,NA,NC,NA,NC
559,NA,NC,NA,NC
566,NA,NC,NA,NC
572,NA,NC,NA,NC
574,NA,NC,NA,NC
577,NA,NC,NA,NC
585,NA,NC,NA,NC
587,NA,NC,NA,NC
380,"NA, I feel ready for this semester after learning from last semester.",NC,NA,NC
505,NA.,NC,NA,NC
91,NA. Its too soon for me to form too many opinions.,NC,NA,NC
192,NA. ,NC,NA,NC
31,NA ,NC,NA,NC
15,none,NC,NA,NC
37,none,NC,NA,NC
73,none,NC,NA,NC
93,None,NC,NA,NC
102,None,NC,NA,NC
105,None,NC,NA,NC
108,none,NC,NA,NC
131,None,NC,NA,NC
139,none,NC,NA,NC
148,None,NC,NA,NC
154,none,NC,NA,NC
155,none,NC,NA,NC
163,none,NC,NA,NC
165,None,NC,NA,NC
207,none,NC,NA,NC
212,none,NC,NA,NC
222,none,NC,NA,NC
241,none,NC,NA,NC
251,none,NC,NA,NC
252,none,NC,NA,NC
263,none,NC,NA,NC
267,none,NC,NA,NC
283,none,NC,NA,NC
284,None,NC,NA,NC
286,none,NC,NA,NC
296,None,NC,NA,NC
299,none,NC,NA,NC
323,none,NC,NA,NC
334,none,NC,NA,NC
335,None,NC,NA,NC
340,None,NC,NA,NC
349,None,NC,NA,NC
376,None,NC,NA,NC
383,none,NC,NA,NC
391,None,NC,NA,NC
398,none,NC,NA,NC
401,none,NC,NA,NC
412,none,NC,NA,NC
438,none,NC,NA,NC
459,None,NC,NA,NC
474,none,NC,NA,NC
486,none,NC,NA,NC
489,None,NC,NA,NC
498,none,NC,NA,NC
502,none,NC,NA,NC
503,none,NC,NA,NC
512,none,NC,NA,NC
519,none,NC,NA,NC
528,None,NC,NA,NC
531,none,NC,NA,NC
562,none,NC,NA,NC
588,none,NC,NA,NC
600,none,NC,NA,NC
287,None as of now.,NC,NA,NC
329,"None, being able to go through Linear Algebra fairly well makes me confident that I can do the same in this course. ",NC,NA,NC
132,None.,NC,NA,NC
530,None.,NC,NA,NC
443,Nothing much really,NC,NA,NC
58,NA.,NC,NA.,NC
345,None.,NC,NA.,NC
184,NA. ,NC,NA. ,NC
484,NA. ,NC,NA. ,NC
81,NA ,NC,NA ,NC
382,None,NC,Nah,NC
109,None,NC,No individual needs.,NC
33,I don't have any worries.,NC,No specific needs of mine have to be met.,NC
282,NA so far,NC,None,NC
134,No fundamental practice after watching videos,NC,none,NC
53,none,NC,none,NC
59,none,NC,none,NC
71,none,NC,none,NC
72,none,NC,none,NC
95,None,NC,None,NC
96,none,NC,none,NC
113,none,NC,none,NC
120,none,NC,none,NC
130,None,NC,None,NC
143,None,NC,None,NC
166,None,NC,None,NC
169,none,NC,None,NC
170,None,NC,None,NC
173,None,NC,None,NC
176,None,NC,None,NC
191,none,NC,none,NC
215,None,NC,None,NC
219,None,NC,None,NC
223,none,NC,none,NC
229,none,NC,none,NC
231,none,NC,none,NC
234,none,NC,none,NC
245,none,NC,none,NC
246,none,NC,none,NC
262,none,NC,none,NC
265,none,NC,none,NC
275,None,NC,None,NC
277,none,NC,none,NC
281,none,NC,none,NC
288,none,NC,none,NC
291,none,NC,none,NC
301,none,NC,none,NC
302,none,NC,none,NC
303,none,NC,none,NC
311,none,NC,none,NC
317,None,NC,None,NC
324,none,NC,none,NC
337,none,NC,none,NC
344,None,NC,None,NC
373,None,NC,None,NC
374,None,NC,None,NC
403,None,NC,None,NC
413,none,NC,None,NC
434,none,NC,none,NC
456,none,NC,none,NC
461,None,NC,None,NC
469,None,NC,None,NC
471,none,NC,none,NC
477,none,NC,none,NC
479,None,NC,None,NC
501,None,NC,None,NC
537,none,NC,none,NC
592,none,NC,none,NC
595,none,NC,none,NC
597,none,NC,none,NC
314,"None

 ",NC,None,NC
47,none ,NC,none,NC
575,none ,NC,none,NC
318,None as of now. ,NC,None for now. ,NC
290,"none! after taking distance linear algebra last semester, i can better understand what this course will be like.",NC,none!,NC
190,None.,NC,None.,NC
395,None.,NC,None.,NC
179,None.,NC,"None. At this point, everything seems good :)",NC
78,none,NC,"Nope, there is nothing. ",NC
561,none,NC,nothing,NC
90,Nothing in particular,NC,Nothing in particular,NC
426,"I am only concerned with spatial reasoning, but I did well with spatial reasoning in physics, so I should be okay.",NC,"So far, I think I will enjoy this course more than linear algebra, as it seems to relate greatly to physics.",NC
183,NA,NC,The course seems interesting and looks similar to geometry so far.,NC
579,NA,NC,The pacing of the lecture videos is impeccable; do keep the pace; it is fantastic.,NC
504,None.,NC,There is nothing specific. ,NC
218,"I think my main concern is that I won't be able to attend a lot of the Studio Sessions. Last semester, I did try to attend a few, but I didn't attend as much as I liked. I hope that this semester, I'll be able to keep track of the schedule and attend when I can.",OT,N/A,NC
497,I will not be able to take Exam 3 due to spring break.,OT,N/A,NC
347,One of the exams is scheduled for our winter break.,OT,NA,NC
580,One of the in person exams is on my school's spring break but other than that none as of right now!,OT,None,NC
123,"I'm concerned about not knowing the dates of the tests yet. I'm afraid I might miss a test date. I also don't learn very well from watching lecture videos, I learn much better from face-to-face instruction so that could be a problem.",OT,N/A,NC
417,"Nothing concerns me much at the moment, but one of the exams is during spring break, which confuses me.",OT,N/A,NC
