Response ID,12172441: What are some of the things that you enjoy about our course so far?,"12172443: At this point in the semester, what concerns you the most about taking this course, if any? If you do not have any, you can write ""none"" or ""NA"". To receive full credit for this activity, you will need to write something below.","12172445: Anything you would like me to know about before we start our course regarding your individual needs, or impressions of the course so far? If there is nothing, please write NA or something similar, because to receive full credit for this activity, you will need to write something below."
50,"I typically enjoy the numerous videos that touch on the three dimensional coordinate system and vectors. I also enjoyed understanding the volume of a parallelepiped which was new to me. In addition, learning about the cross product of two vectors exposed me to a new understanding of the angle between vectors. ","I believe something that concerns me the most is the fact that I will be learning a heavily math topic which steers away from linear algebra concepts and more so dives deeply into AP Calculus ones, a course I took last year. Although I have gained an understanding, I am afraid of the gaps I may have in formulas that I have forgotten with time. ",I would like if we could maybe go over more questions similar to the exams in office hours. It would be extremely helpful to understand the style of the questions with professor help to understand the concepts. 
51,I enjoy the learning environment that's been established between my friends and I as a result of this course.,NA - I was initially worried about losing motivation but that has disappeared as my friends and I hold each other accountable.,NA
52,I enjoy how the course is self paced. ,none,none
53,The homework felt engaging,NA,NA
54,The lectures and sylabus of the course seem straight forward.,None,None
55,"Can do work on my own time

Easy to follow along course content",Having to self-pace the work,NA
56,"It is challenging and intense, and this makes it very enjoyable for me. ",None,None
57,"* Flexibility with assignments and homework

* Videos are well organized 

* Help sessions available for students when they do not understand a certain concept",none,NA
58,I like how the course is a bit more conceptually easier to understand. I also like how it’s a continuation of the things I’ve learned previously.,Right now I’ve been sick with a fever since Friday last week so my main concern is not starting the semester already behind on work due to my illness.,NA
59,"How it is fully online and how the Pearson textbook provides more than enough examples for each chapter and section in order to learn quickly and effectively.

There are so many resources to help me understand content like MML, multiple office hours and studio sessions and so many extra worksheets/practice problems.",N/A,N/A
60,The content is very interesting.,I struggle to do my work on time for online courses. ,N/A
61,The recorded videos make it easy to learn the material when I have time.,NA,NA
62,The ease of accessing the textbook and the ability to get examples on the homeworks.,None,None
63,I enjoy the enthusiasm and clarity with which the lectures and studios are conducted. They make me eager to learn more for myself and further my knowledge in the subject.,I am concerned with the distance learning aspect. I’m concerned that any assistance that I need may be difficult to get ahold of and/or that it may be difficult to interact with instructors or TA’s.,N/A
64,Everything is laid out in a bite-sized manner,Peer support,N/A
65,I especially enjoy the Piazza forums because they give me great insight on topics that are commonly struggled on or explanations to specific questions in tests or homework. I also appreciate the practice exams that are provided as they greatly assisted me in my preparation for the exams.,"I am concerned that I will encounter a topic that requires prior knowledge that I am ""rusty"" in, which will slow me down and make things more difficult.",NA
66,I enjoy that the course is self-paced outside of the due dates. My schedule can be changing sometimes so it's nice that I can work on the course as my schedule fits.,none,"In terms of impressions of the course, I think I will enjoy this course a little more than Linear Algebra because I have heard this course is less conceptual which I think will work better for me."
67,I like the amount of different types of resources available to learn the content depending on individual learning style.,none,NA
68,"I like the self pacing aspect of lectures, and the way that homework sets have examples for many of the problems.",none,none
69,I enjoy the clear communication as well as the presence of the online forum through Piazza. The structure of this course seems to be a lot like Linear Algebra which I enjoyed last semester.,NA,NA
70,"I honestly really love the self paced nature of the course since it allows me to be more flexible with my schedule. As a self-learner, I enjoy getting ahead when I have the time and find the concepts interesting. Also, I really appreciate that we have a dedicated class to this course within our school because it allows me to have others to speak to regarding concepts in this course. I feel like if I was taking this class alone it would be a completely different, much more challenging and less fun, experience. ",N/A,Would it be possible for us to see study strategies that have worked for other students so we may potentially implement them ourselves?
71,I enjoy the extensive nature of this class and the various resources provided to succeed.,NA,NA
72,The in-depth course material and multiple opportunities for being able to catch up if you are struggling with content,none,none
73,"Since it is the same format as last semester, it feels very familiar. I like how the information is presented, and the examples given are clear.","I am concerned that I will not stay ahead of schedule like last semester. However, I have come up with a plan to prevent that from happening.",NA
74,"The format is similar to the one from the previous course, so I understand how to navigate through it","NA (aside from a few funky deadlines, though those have mostly been sorted out by this point)",NA
75,"So far I have enjoyed the numerous ways I can learn and how easy it is for me to get help with struggles! The amazing community has been great in this course. Aside from that, the responsiveness with our instructors has been a huge plus. ",NA,Nothing yet! Just that I am happy and looking forward to this course!
76,The studio sessions are very helpful and the mml assignments are very good and forgiving.,n/a,n/a
77,"I like how the video lecturer is straight to the point with information. I also like how to course is formatted similarly to last semester, so I know where everything is located.","I found linear algebra to be somewhat challenging, but I've heard that this course is even harder. I'm concerned with the difficulty of this course.",NA
78,"At this point, I haven't fully navigated through the course, but I do enjoy the similarity it has to the linear algebra course from last semester in terms of the structure of the class. Everything seems familiar, just with new content, which makes it easy to navigate through. I know exactly where to find the lectures, grades, assignments, etc. and the course makes it super adjustable.",My only concern is my time management with the course and how to keep up with the class pace without haven fallen behind with the videos and assignments.,N/A
79,I like that the course is organized and that there are many resources to succeed in this course. ,"The only concern I have is the difficulty of this course, but I did well in AP Calculus, so I believe I can handle the coursework. ",NA
80,"I like the lectures and MML because it provides goo practice. Last semester, this format was really helpful and I often went back to them before exams as extra practice.",none,NA
81,One thing that I like about this course is being able to review the material from the videos for as long as you want and the modules being organized with dates.,NA,NA
82,"That its online, and it gives us a lot of flexibility.","Not falling behind, because the weeks begin to stack on top of one another.",NA
83,The videos! Very in depth with good examples.,NA,NA
84,"Some things I enjoy about this course is the vast amount of help and resources. Piazza, the discord server, and live lectures via teams offer me plenty of options when needing help.",NA,NA
85,"Speaking from my experience with the Linear Alg course from last semester, I love the MmL explanations on Pearson, as I feel like they are so great at walking me through my mistakes and helping me correct them. ",NA,NA
86,I like the succinct and to the point lecture videos.,NA,NA
87,The lectures are detailed and the homework is helpful.,None,NA
88,Its a very interesting course and is really important in the future of my career.,none,none
89,The lectures are very easy to understand.,I'm worried about getting behind on the lecture videos and homework.,NA
90,Some things I enjoy about the course so far is the detail within the lectures that is also concise. I was having a hard time reading the textbook by itself but by watching the video lectures the content became easier to understand!,NA,NA
91,I enjoy being able to go at my own pace with learning. I also like that I have a proper structure in the course and I know clearly when assignments are due. ,NA ,NA
92,The ability to do the class on my own time and complete it at my own pace.,NA,NA
93,The videos,NA,NA
94,I like that the course is very organized.,none,none
95,"The structure of this course is the same as the last, so easy to transition into this semester. Also, I like that module tests are now on MML (more related to the homework problems).",NA,NA
96,"I like that it is challenging, but not too stressful. I also like that it is somewhat self-paced.",NA,NA
97,I enjoy the pacing of the course where we can pace ourselves based on the understanding of the material to best meet our needs to understand the course. ,NA,NA
98,I like how it is online so I can do it anywhere. ,Taking the exams. ,NA
99,I think it is really cool how we're connecting calculus with some of the topics we learned in linear last semester.,Second semester of senior year is very busy! I have some concerns about time management but I think I will be okay.,Nope!
100,"I like the flexibility of the course and the supportive environment for asking questions. I think what I like the most about this course is the homework. I've taken a lot of classes were homework is graded based on accuracy with minimal attempts, and sometimes the answers were not posted. I like that there's plenty of opportunities to do well on and learn from the homework. It actually feels like practice.","I think my biggest concern is time management. Last semester, I did a really terrible job of managing my time because I was busy with college applications and other things. It was easy for me to forget about this class sometimes because of its asynchronous nature. I am really, really, really making sure that I manage my time well enough so that I can dedicate enough time to this class to not only pass but to really engage with the content (if that makes sense).","I think this is going to be a really fun class! I loved calculus last year, so I am excited to learn more. I've also seen multivariable calculus in some physics content, so I think this class will be very helpful for me as a future STEM major."
101,I enjoy the organization of the course along with the structure of the announcements.,none,none
102,I enjoy how the MML's are due on Thursday instead of Wednesday. ,There are not any concerns.,NA
103,I enjoy the difficulty of the math course and the amount of new material that I am learning. I see applications of Linear Algebra in my daily life that I never thought of before now. ,"Much of the material in the previous course was oftentimes hard to understand because it seemed like many formulas were pulled out of thin air. For me, that makes it extremely hard to understand what is going on. ","I would like some linked resources/videos or anything that takes me logically through a proof of many of the identities and formulas mentioned in the class. I was looking at the cross product formulas for example, and I have no clue how many of them came to exist, which makes it very hard for me to understand them. "
104,"I enjoy Calculus as a whole, so extending that to the third dimension has made it even more interesting. Also, I like how this course includes a lot more about the application of the math we are learning, such as in physics.",None,None
105,I enjoy the go at your own pace structure and the many resources provided.,NA,NA
106,"The format of the modules is very easy to follow and great to keep me on pace with the curriculum, putting everything in one, accessible place. ",None,NA
107,I enjoy the format of the lecture videos.,NA,NA
108,I love the online format and the freedom to study whenever I want,I am a bit concerned that I will not remember some of the calculus concepts I learned.,NA
109,There are videos,NA,NA
110,"* I like how flexible the coursework is

* I like that I can take the test as many times as I need

* Piazza is really helpful",NA,NA
111,"* i like the breakdown of topics

* I like the assignments available to practice",n/a (none),none
112,I like the ease of finding due dates and how easy it is to find the activities that I need to complete by a given date.,I am concerned about the in person exams as they make up a larger portion of my grade than they did in Linear Algebra I believe.,NA
113,accessability,none,none
114,"I like the style of teaching and my wide accessibility to resources. I know that if I do not understand the topic in the videos, I can always look it up in the textbook, ask about it on the videos, join the help sessions, or email the professor, which gives me a huge multitude of resources to ensure my success.",None,None
115,#NAME?,NA,NA
116,"I like the predictable pattern of the course. I know we're going to have lectures, reading, and MML every week, so I can put apart time for that without being surprised. I also like Piazza because all of my questions are answered through that, so I never have to look any further.",none,none
117,I enjoy the my math labs and their step-by-step instructions.,NA,NA
118,"I enjoy how each topic is broken down into many shorter length videos. I also enjoy that canvas is very easy to navigate, and it is very easy to access information and resources.",None,NA
119,"Overall, I have really enjoyed this course so far. I had a good experience learning linear algebra, and now I'm even more excited to learn multivariable calculus. Some of the things that I like about the course are the recorded lecture videos, the well-written textbook, and the general layout of the course.",NA,NA
120,The pacing of week-by-week content and MMLs. Exams are also spaced out throughout the semester.,none,N/A
121,I've enjoyed being able to learn while at home with the videos because I'm able to go back to topics I don't understand easily. ,"This semester, I'm concerned about my motivation and will to do coursework. ",NA
122,I think I like calculus a little more than linear algebra due since I've done some in the past. I also do appreciate some of the review done to serve as a refresher.,Just staying on pace and working through it this semester with Ramadan and exam season.,"I am going to try to stay on track and work ahead of time, especially when March/Ramadan comes around, but I am not home from 7-12 AM that entire month and may need extensions or extra help for which I will reach out."
123,I am enjoying the asynchronous and online format. I am also enjoying the content.,None.,None.
124,"I am enjoying how the course is relating to content that I learned last year in AP Calculus, and how the video content is making more sense to me this semester. ",My biggest concern is not getting an A if I don’t do the extra credit.,NA
125,Everything is given in advance and is organized.,NA,NA
126,I enjoy the videos being at a fast pace with many examples. ,The biggest concern I have about this course is the exams because they count a lot toward my final grade. ,N/A
127,I really enjoy the ability to ask questions within the video explainations,NA,NA
128,I like the videos and how the course is structured.,none,none
129,"I enjoyed the opportunity to learn at my own pace through the well divided videos and topics that this course teaches in, as well as the simple teaching method which helps me learn more efficiently.","My main concern is the amount of time I will have to dedicate to this course as I will be more busy this year, so I will have to work to utilize my time more efficiently.","My impression of the course if very positive and gives me a good impression of the college experience overall, as it is much more structured than I anticipated."
130,I enjoy how the course is structured because it allows me to learn the information in a timely manner.,NA,NA
131,"So far, something I enjoy about the course is how the concepts are more theorem-based.",N/A,N/A
132,I enjoy the way that it is structured. ,none,n/a
133,Lecture Videos are very good,NA,NA
134,"I enjoy the videos and the mml, they both contribute well to my learning of the course.",NA,NA
135,I enjoy being able to learn about a subject that is not taught in my high school. I find the topics interesting and the class engaging. ,NA,NA
136,The content is interesting to me and I enjoy a new perspective of the course compared to linear algebra!,"After watching the first 3 weeks lecture videos, I feel like the videos are too fast and the person teaching skips a lot of the steps in the math. I feel like the lecture videos could go a bit slower and showing out all the work instead of condensing the work would be helpful for me. ","So far, I feel like the lecture videos are a bit too fast for me to keep up and some of the work is hard to understand where it came from because most of the intermediate steps are skipped."
137,I like the lectures given every Monday and Wednesday.,NA,NA
138,I enjoy the freedom of being able to complete the coursework at my leisure. I also enjoy the help I can get from classmates on Piazza.,I am concerned about gaining a complete understanding of the material presented in the course.,NA
139,I like that the course is self paced while still having set deadlines.  This allows me to manage my own schedules while still having a framework for progress and accountability. ,I am concerned im going to get behind on course work,NA
140,I enjoy how the course is very self-paced and I can watch the videos anytime. ,NA,NA
141,I can take my time over the course of the week to watch the module videos and do the MML.,My biggest concern is not being prepared enough with True/False questions and Impossible/Possible questions that are on the exams.,NA
142,The material is much more enjoyable to me.,None,None
143,"I liked our independence, and I generally like the flexibility we have with turning things in late without it hurting to much (with the exceptions of the mod tests of course).",I am simply concerned about doing things last minute and not fully understanding things.,NA
144,MML's,NA,NA
145,The speed and quality of feedback,The change in lecturers,NA
146,The formatting of modules and practice.,none,none
147,"I love how it offers many opportunities to keep our grades up, like Webworks and MMLs. Also, the textbook and instructors are very helpful in teaching the subject.",NA,NA
148,I think the visuals help me better understand the concepts in the course.,None,NA
149,The videos are engaging and informative.,NA,NA
150,I like the MML. It is a great way for me to gauge my understanding of the week's content through a series of some challenging and some easy questions. ,NA,NA
151,The MMLs and easy modes of communication to other students/ teachers,n/a,n/a
152,I enjoy the self paced learning and the additional practice given.,none,NA
153,Concepts seem more concrete/less theoretical than last semester which I prefer,none,na
154,The structure of the canvas page and the detail present within the syllabus.,n/a,n/a
155,"This is my first experience with a real college class, and I really enjoy the guidance and the resources that come along with this course. With piazza, student resources, TAs, and an amazing instructor, this course is one of the best I have ever taken. On top of all, I found linear algebra fascinating because of how different it was: not your traditional memorization of formulas but rather the visual understanding of content. ",NA.,NA.
156,Everything is laid out and set up really well. It is a very navigable course.,NA,NA
157,I like the how the lecture videos are easily accessible.,NA,NA
158,The lecture videos cover interesting topics and helped me explore the basics for multivariable calculus. ,NA,NA
159,"I really like the flexibility that the course offers, which gives me the freedom to have my own pace. With this flexibility, I was able to schedule my own study time and pace for the course.","Many people told me that multivariable calculus is harder than linear algebra, which concerns me a little bit. I might need to change to my study schedule. ",NA
160,I enjoy the professor’s connectivity with the class and the students. The setup in canvas is very accessible and efficient.,none,NA
161,"I enjoy the pacing of the course, I feel as though I have enough time to learn and practice material before it comes time to learn new material or complete a module test, etc. I also enjoy how the MMLs, Written Assignments, and Module Tests feel designed to help prepare me for the exams.",NA,NA
162,I enjoy being able to take the class at my own pace. ,NA,NA
163,The videos are concise and there are a lot of resources available to supplement the notes.,Potentially forgetting content from AP Calculus BC,NA
164,I enjoy learning about 3d spaces and how we are going to apply calculus in higher dimensions. ,N/A,NA
165,"I love the fact that homework has unlimited attempts and example problems as it allows me to have almost an endless amount of practice. Additionally, I really like how there are videos walking you through certain topics as I sometimes struggle to understand concepts only from the textbook. Finally, I enjoy this course's Piazza as it allows to get quick help or clarification on certain concepts.","I think I am most scared that I will not understand certain concepts from the textbook or the videos, causing me to be clueless in this class. However, this isn't an overwhelming fear as I can still ask people for clarification and can find online resources to help me learn.","I may need to have one-on-one chats with the professor or his helpers as I am not the best at online learning. Other than additional help, everything else is fine."
166,I enjoy the use of the textbook and the prerecorded lectures. ,none,none
167,I enjoy the fact that the resources are plentiful and there is a vast support system to lean on when I don’t understand the material.,I am concerned about the amount of work this course will require and whether I will have the motivation to complete it within a reasonable length of time.,NA
168,Doing the MML,NA,NA
169,The content is relatively intuitive so far.,N/A,N/A
170,I enjoy doing the webworks. I also really appreciate piazza and how all of your questions will get answered there.,"I wasn't the biggest fan of AP Physics I (it was very difficult for me and I couldn't understand the concepts) and from the videos I've seen so far, this course reminds me of physics. When I took physics I was a sophomore and I'm a senior now who understands more math, but I'm still a little scared that I won't understand some stuff.

I'm also worried this course will be harder than linear algebra.",NA
171,I enjoy being able to work at my own pace.,NA,NA
172,"Learning more advanced level math that will be helpful later down the road in my career or in life. Also, being able to see how college courses work and get used to their practices.",Only concerns are staying on time and not procrastinating on assignments.,"N/A, hopefully maybe as I get through the course lectures will be by Dr. Mayer instead."
173,I really enjoy the applications of the concepts we have been learning and how it ties with physics. ,I am somewhat concerned with the workload but I believe I will still do fine. ,NA
174,I enjoy watching the lectures,The main thing that concerns me is that I will put things off like I did last semester.,NA
175,"I have enjoyed the mixture between what we learned in linear algebra to what we learned in calculus last year, and having them coexist and work off each other.",I am a little concerned with the first exam because it is only in like 3 weeks.,Nothing
176,I like that all the material is super accessible for whenever I need it.,NA,NA
177,I've liked the lectures.,NA,NA
178,The instructor is teaching the course very well and puts a lot of thought into the lectures. ,none,none
179,"I enjoy how the course is going over some linear algebra concepts again like dot products and projections, as it is a good refresher after the long break.",NA,NA
180,I like how easy it is to see when assignments are due and I really like the study resources that are provided to us.,Probably just making sure I stay caught up.,NA
181,The layout is the same as linear algebra so it is easy to navigate and find the assignments I need to do. I also like how the scheduling is so i can work at my own pace to complete the assignments.,"What concerns me the most about this course is how hard it will be, as I heard it is a challenging course.",NA
182,"I like that since I have taken linear algebra, I am familiar with the format and mostly know what to expect. I also like the pacing and style of the lectures.",My main concern is keeping motivation for the course and keeping myself on track so I don't have too much last minute work.,NA
183,The video quality,The Final Exam,NA
184,I like the support structure for this class as there are many ways to get help from students and teachers through email and piazza.,NA,NA
185,"I can retry questions as much as I need to understand the material. Also, it's nice that there are public question boards so students can aid others.","I'm most worried about getting sick during the GT exam days, as that would likely dent my scores significantly. The only reason why is because I already have experience with the first and second final exam parts for Linear Algebra last semester... :(","If there's any way to shorten the videos doing so would be greatly appreciated, though that's if it doesn't take too much effort/time! Thank you!"
186,I love how you can move ahead if you need to and how there are plenty of resources along with the studios and videos and office hours.,N/A,N/A
187,I like how the course is accessible and available all the time. ,None. ,NA
188,The main thing that I enjoy about the course is the availability of MML assignments as I find them helpful. I also enjoy the resources that are provided.,"The only concern is that I will forget about assignments being due, but I plan on using an agenda to keep up with them.","I do not have any specific needs for the course so far, but I will email if I do."
189,The format and scheduling of assignments. I enjoy MML being due on Thursdays.,"I am concerned about the rigor this course gives, as I found last semester's content to be very rigorous and are to understand in an online class.",NA
190,"I think the pacing and difficulty is balanced well, especially for the beginning of the semester.","Because I am planning to stay ahead of the curriculum, I am slightly worried that I may forget previous material.",NA
191,"I enjoy working at my own pace, allowing enough time to understand the materials. I also enjoy cooperating with my peers to practice the concepts I learned.",I do not have any major concerns about taking this course at this point.,"There is nothing particular I would like you to know about before I start the course regarding my individual needs, or impressions of the course so far."
192,I like the self paced atmosphere and the myMath labs homework.,I am worried about staying engaged as I get closer to graduating from high school ,n/a
193,I enjoyed the video lecture format and the interactive environment provided which allowed me to ask and receive questions. I also enjoyed the calendar as it's one of my essentials in order to stay both on task and organized.,None in particular.,Nothing in particular.
194,I really enjoy the MML for practice and the practice Tests for practice.,none.,none
195,"One thing I enjoy about the course is the asynchronous online format. The lecture videos are concise and can be viewed at any time, which allows the course to feel much more efficient and less time consuming.",None,None
196,I enjoy how organized this course is because it makes finding materials needed to study and lectures easier to find.,NA,NA
197,the accesibility to the materials,na,na
198,"Same as the previous course, I very much appreciate the numerous extra resources available to me via GT, the video lectures seem understandable and approachable. If I am having extra trouble even with all the resources, though, I know I can visit Khan Academy or YouTube for extra extra help. So there is a sense of security. ",The exams and the true false questions. I'm definitely going to lock in extra hard conceptually i order to prepare for those.,NA
199,The well-organized course work page and the lecture videos. ,none,NA
200,"I have enjoyed the numerous amounts of resources available from linear algebra and has continued through with this course. This is through the videos, studios, and notes provided.",none,none
201,I like the videos. They’re very informative and detailed.,N/A,N/A
202,I like the freedom you get with the course management. ,NA,NA
203,I enjoy the course's flexibility and the fact that I always know what is to come rather than anticipating what's next. I also like how the homework always provides us with instruction and feedback on how to solve a question.,NA,NA
204,I really liked the MMLs as they give examples how to solve the problems step by step.,NA,NA
205,"I enjoy a lot about the course, mainly the vast resources available for each student to learn and the various methods they could.",NA,NA
206,"I enjoy how the course is organized, resources like test prep and additional materials are easy to locate.",NA,NA
207,the resources,none,none
208,"I appreciate the amount of available resources to help us study such as MMLs, previous exams, studios, and the textbook. ",None,None
209,I enjoy pacing myself and controlling my own schedule.,NA,NA
210,I enjoy the pace at which the course is going at. I also really like how we are going over the very basics before we get into the depths of multivariable calculus before directly jumping in. ,None,NA
211,I look forward to going through the course and learning new material. I look forward to working with my classmates. I am glad it is very similar format to previous Distance Math course!,NA,NA
212,The module videos have been straightforward to understand. I also like the slideshows that are linked. ,NA,NA
213,The videos so far are easy to understand.,I'm concerned about the workload and time management.,NA
214,Content and independent learning and exam format,I'm most concerned about having a solid grasp of all the content by the time of the exam because in linear algebra I had to do alot of review for the final exam and it was a little difficult.,N/A
215,"I like how organized the course is, with a full schedule of deadlines in the syllabus. I also like how there are many resources to learn including lecture videos, the textbook, studio sessions, and practice quizzes.",None,None
216,"I enjoy the applicability to other parts of my life. As I am intending to major in mechanical engineering, I feel that what I have seen about multivariable calculus is quite relevant to that field (especially with the CAD software I have familiarized myself with).","I am hoping I can stay on top of the lecture videos and studio sessions. I had a bit of difficulty with the pacing of 1554 last semester, and I underestimated how much time I had to put into the class.",NA
217,"The TA's and working through worksheets and the MMLs, i just think that all really prepares me well for exams and helps get a deeper understanding of the material/","I'm not really sure what concerns I have; I'm taking a course at my school right now and I sometimes just struggle with understanding Lagrange multipliers and some topics, but hopefully everything will be explained in depth.",N/A
218,There are a lot of resources to use for practice and extra help and I like how the MMLs are formatted. ,NA,NA
219,I enjoy how the course is set up the same as last semester so I already feel familiar with everything.,I have no concerns so far.,I hope MVC is easier than Linear Algebra.
220,"I like how simple Canvas is to use, and I like calculus, so I'm excited to learn throughout this semester!",NA,NA
221,"The accessibility of help from other students, profs, and TAs and the different ways that the course content is presented.",NA,"I like models, visuals, or examples to help me learn."
222,I like how everything is detailed in the syllabus and that everything for the rest of the semester is posted and accounted for.,NA,NA
223,The liberty in scheduling,NA,NA
224,"I think that GT offers many opportunities for students to seek extra help outside of watching lecture videos and reading the textbook. The live learning sessions with the TAs are beneficial, particularly in this challenging course. ","After last semester, my goal is to be more consistent with the live learning sessions and keep up with the lecture videos as my personal life becomes more hectic. ",N/A
225,I appreciate the multitude of resources available to me. It is nice to know there is always something to help me fill in the blanks in my knowledge of the content.,NA,NAA
226,I have really enjoyed this course so far. I liked the new content. These math classes are very different than any class I have ever taken before. I enjoyed the videos for each unit and the great instructors.,None. I know what to expect now.,None.
227,Some of the things I enjoy about our course so far is how supportive the professor and students are of each other and the course material itself- I am very interested in studying calculus.,none,NA
228,I enjoy the easy access to resources for the course through Canvas. I also appreciate that the lectures and studios are easy to understand!,N/A,I am looking forward to this course!
229,"There are a lot of resources.. vidoes, textbook... and I like the Piazza where you can communicate with other people taking the calss.",NA,NA
230,I enjoy the freedom we have to learn at our own pace on our own time. I also just like the content we are learning.,I hope I don't get too burned out learning the advanced content that tends to be taught in this course.,I think that the distance math program is very well managed and handled.
231,"I like how organized the course is and how we are given all of the material at the beginning of the semester so that we can complete the work at our own pace. It's also nice to see that Dr. Meyer is the instructor for this course, as I enjoyed the previous course with him as the instructor.",none,none
232,The lectures,NA,NA
233,It's easy to navigate because it is set up similarly to the previous course. ,I just hope that there are lots of practice exams - other than that I have no concerns.,NA
234,"The module videos, practice quizzes and tests",NA,NA
235,The engaging content and switch to calculus.,NA,NA
236,Lectures are good,NA,NA
237,Interesting,NA,NA
238,unlimited attempts,NA,NA
239,It is very well organized and planned out.,N/A,N/A
240,I enjoyed the video about the dot product and its applications. ,None,None
241,It is very organized and I found it very fun with such a welcoming community.,none,none
242,Good organization,none,nope
243,"I enjoyed the multitude of practice/review problems available, meaning that I haven't ever been at a loss for things to do in the course. I also like the forum-style communication available.","My only concern is prior knowledge needed for this course, as I need to touch up on any important Calculus concepts, but it can easily be addressed by just reviewing.",N/A
244,the lectures and the studios have been good so far.,NA,NA
245,"As with linear algebra, I appreciate how accessible this course is as a distance learning course - that I can complete assignments wherever I am and that I have all the resources already available to me throughout the semester. The lectures are also easy to follow, and I feel like I have a wide variety of options available to me to learn and gain a better understanding of course content.",NA,NA
246,I like that homework is due on Wednesdays instead of Sundays. I also like that there are videos to help us understand the course content.,NA,NA
247,Great videos on the first module. Simple steps to begin this course.,none,none
248,I enjoy the topic slides which help out a lot as well as the new people making the lecture videos,None,I do enjoy the engaging lectures
249,I enjoy the structure of tis course and how planned out it is. ,N/A,NA
250,"I love the personal pacing of this course, of course there are some hard deadlines but you can overall, choose the way you want to learn everything and when you want to work.",NA,NA
251,I have enjoyed learning about different vector and dot product applications in real life. I like how these topics and theories relate and connect to real life. I also like the organization of the course and its easy-to-navigate content. ,None,None
252,I love the flexibility I have with watching videos and completing assignments because we have most of the course materials ahead of time.,"The biggest concern I have is falling behind on my assignments, but I plan to combat this with better time management.",NA
